Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2004
Santa Sofia,Amarone Classico Riserva,4.0,70-74,8,07,sv,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv
Santa Sofia,Amarone Classico,3.5,35-39,10,19,sv,sv,sv,3,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Santi,Amarone Classico Proemio,3.5,60-64,21,22,sv,sv,sv,4,sv,3,3,4,sv,sv,sv,sv,sv,sv
Santi,Amarone Classico Santico,3.0,35-39,8,14,sv,sv,3,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Santi,Amarone,3.0,35-39,5,09,sv,sv,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Scriani,Amarone Classico Riserva,4.0,45-49,8,11,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Scriani,Amarone Classico,3.0,35-39,3,05,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Secondo Marco,Amarone Classico,5.0,70-74,46,43,sv,sv,sv,sv,sv,5,5,sv,sv,sv,sv,sv,sv,sv
Secondo Marco,Amarone Classico Riserva Fumetto,5.0,200-249,23,07,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv
Speri,Amarone Classico Sant Urbano,4.8,65-69,100,100,sv,5,5,5,sv,4,5,sv,sv,sv,sv,sv,sv,sv
Stefano Accordini,Amarone Classico Acinatico,3.6,35-39,28,52,sv,4,4,3,3,sv,4,sv,sv,sv,sv,sv,sv,sv
Stefano Accordini,Amarone Classico Riserva Vigneto Il Fornetto,4.5,75-79,62,54,sv,sv,sv,5,sv,sv,4,4,5,sv,sv,sv,sv,sv
Tedeschi,Amarone Classico Riserva Capitel Monte Olmi,3.8,70-74,34,31,sv,sv,sv,4,sv,4,4,3,4,sv,sv,sv,sv,sv
Tedeschi,Amarone Classico Riserva La Fabriseria,5.0,200-249,46,14,sv,sv,sv,5,sv,sv,sv,5,sv,sv,sv,sv,sv,sv
Tedeschi,Amarone,3.0,50-54,8,10,sv,sv,sv,sv,3,3,3,sv,sv,sv,sv,sv,sv,sv
Tedeschi,Amarone Marne 180,3.0,45-49,8,11,sv,sv,3,sv,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Tedeschi,Amarone Riserva Maternigo,5.0,125-149,23,11,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv,sv,sv
Tenuta Sant Antonio,Amarone Riserva Lilium Est,5.0,125-149,23,11,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv,sv,sv
Tenuta Sant Antonio,Amarone Campo Dei Gigli,3.8,80-84,34,27,sv,4,4,3,sv,4,4,sv,sv,sv,sv,sv,sv,sv
Tenuta Sant Antonio,Amarone Telos L' Amarone,3.0,45-49,8,11,sv,sv,3,sv,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Tenuta Sant Antonio,Amarone Selezione Antonio Castagnedi,3.0,45-49,10,15,sv,3,3,3,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Tenuta Santa Maria,Amarone Classico Riserva,4.0,90-94,15,11,sv,sv,sv,4,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Tenuta Villa Bellini,Amarone Classico Centenarie,4.0,95-99,8,05,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Tenute Ugolini,Amarone Classico,4.0,50-54,8,10,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Terre Di Leone,Amarone Classico Il Re Pazzo,3.0,45-49,13,19,sv,sv,3,3,3,3,sv,sv,sv,sv,3,sv,sv,sv
Terre Di Leone,Amarone Classico Terre Di Leone,4.0,70-74,15,14,sv,sv,sv,sv,sv,sv,4,sv,4,sv,sv,sv,sv,sv
Terre Di Leone,Amarone Classico Riserva Terre Di Leone,5.0,90-94,23,17,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv,sv,sv,sv
Terre Di Leone,Amarone Classico,4.0,60-64,8,08,sv,sv,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv,sv
Terre di Pietra,Amarone Classico Rosson,4.0,50-54,8,10,sv,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv
Tezza,Amarone Valpantena Tezza,4.0,40-44,8,12,sv,sv,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv,sv
Tezza,Amarone Corte Majoli,2.0,30-34,1,02,sv,sv,sv,sv,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Tommasi,Amarone Classico Riserva De Buris,5.0,250-299,46,11,sv,sv,sv,sv,sv,sv,sv,sv,5,5,sv,sv,sv,sv
Tommasi,Amarone Classico De Buris,5.0,250-299,23,06,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv
Tommasi,Amarone Classico,3.2,45-49,18,26,sv,3,3,3,4,sv,3,sv,sv,sv,sv,sv,sv,sv
Tommasi,Amarone Classico Riserva Ca' Florian,4.0,95-99,23,16,sv,sv,sv,sv,sv,sv,4,4,sv,4,sv,sv,sv,sv
Tommaso Bussola,Amarone Classico Vignetoalto,5.0,175-199,23,08,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv
Trabucchi D'Illasi,Amarone,3.0,70-74,5,05,sv,sv,sv,sv,sv,sv,sv,3,sv,3,sv,sv,sv,sv
Trabucchi D'Illasi,Amarone Riserva Cent'Anni,5.0,100-124,23,14,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv
Valentina Cubi,Amarone Classico Morar,3.5,50-54,10,13,sv,sv,sv,sv,sv,4,sv,3,sv,sv,sv,sv,sv,sv
Valentina Cubi,Amarone Classico Riserva,4.0,100-124,8,05,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,4
Venturini,Amarone Classico Riserva,5.0,95-99,23,16,sv,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv,sv
Venturini,Amarone Classico,3.4,25-29,23,58,sv,sv,3,3,sv,3,4,4,sv,sv,sv,sv,sv,sv
