Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Produttori Del Barbaresco,Barbaresco Pora Riserva,3.0,45-49,8,8,sv,sv,3,3,3,sv,sv,3,sv,sv
Produttori Del Barbaresco,Barbaresco,2.4,35-39,6,8,sv,2,2,2,3,sv,3,sv,sv,sv
Produttori Del Barbaresco,Barbaresco Muncagota Riserva,3.0,50-54,8,7,sv,sv,sv,3,3,3,sv,3,sv,sv
Produttori Del Barbaresco,Barbaresco Pajè Riserva,3.3,50-54,11,11,sv,sv,sv,3,3,3,sv,4,sv,sv
Produttori Del Barbaresco,Barbaresco Rio Sordo Riserva,3.0,50-54,8,7,sv,sv,sv,3,3,3,sv,3,sv,sv
Prunotto,Barbaresco Bric Turot,3.3,35-39,19,25,4,4,3,3,3,sv,3,sv,sv,sv
Prunotto,Barbaresco Secondine,3.0,60-64,4,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Prunotto,Barbaresco,3.0,25-59,9,11,3,3,3,3,sv,3,sv,sv,sv,sv
Punset,Barbaresco Basarin Riserva,3.3,30-34,26,40,sv,sv,5,3,3,3,3,3,sv,sv
Punset,Barbaresco San Cristoforo Riserva Campo Quadro,3.8,40-44,37,44,sv,sv,sv,sv,5,4,4,3,4,3
Rattalino,Barbaresco Meruzzano 43,3.0,30-34,4,6,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Rattalino,Barbaresco Currà 82,3.0,30-34,4,6,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Rattalino,Barbaresco 42,2.8,30-34,10,16,3,2,3,3,3,sv,3,sv,sv,sv
Rattalino,Barbaresco Riserva 45,2.8,35-39,6,8,sv,sv,sv,sv,2,3,sv,3,3,sv
Rattalino,Barbaresco Ronchi 43,3.0,25-29,8,14,sv,sv,sv,3,3,3,3,sv,sv,sv
Ressia,Barbaresco Canova,3.0,25-29,11,21,3,3,3,3,3,3,sv,sv,sv,sv
Ressia,Barbaresco Canova Riserva Serie Oro,3.0,35-39,4,5,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Rizzi,Barbaresco Pajorè,4.7,40-44,85,100,5,5,5,5,5,3,sv,sv,sv,sv
