Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Olivi – Le Buche,Chianti Superiore,2.0,10-14,4,7,sv,sv,sv,sv,sv,3,2,1,sv,sv
Tenuta La Pineta,Chianti Superiore Il Guido,3.0,15-19,3,4,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
Fattoria Corzano e Paterno,Chianti Terre Di Corzano,2.0,10-14,3,6,sv,sv,sv,sv,2,2,2,sv,sv,sv
Fattoria Corzano e Paterno,Chianti Riserva I Tre Borri,3.0,25-29,6,5,sv,sv,sv,sv,sv,sv,3,3,sv,sv
Tenuta Castiglioni,Chianti Castiglioni,1.0,15-19,1,1,sv,sv,sv,1,sv,sv,sv,sv,sv,sv
Tenuta San Vito,Chianti Colli Fiorentini Darno,3.0,15-19,3,4,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Tenuta San Vito,Chianti San Vito,2.0,15-19,1,1,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Tenuta Il Corno,Chianti Colli Fiorentini Riserva San Camillo,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Cantine Leonardo Da Vinci,Chianti Riserva Da Vinci,3.0,10-14,3,5,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
Cantine Leonardo Da Vinci,Chianti Leonardo,2.0,5-9,1,3,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Fattoria Varramista,Chianti Monsonaccio,2.0,10-14,2,4,sv,sv,sv,sv,sv,2,sv,2,sv,sv
Fattoria Betti,Chianti Montalbano Cantina Del Farnio,2.0,5-9,1,3,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Ormanni,Chianti Ormanni,2.0,5-9,3,10,sv,sv,sv,sv,2,2,2,sv,sv,sv
Poggio Al Bosco,Chianti Poggio Al Bosco,1.0,10-14,1,1,sv,sv,sv,sv,sv,1,sv,sv,sv,sv
Sangervasio,Chianti Riserva,2.0,15-19,1,1,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Sangervasio,Chianti,1.5,10-14,1,2,sv,sv,sv,sv,1,2,sv,sv,sv,sv
Casale Dello Sparviero,Chianti Superiore Casale Dello Sparviero,1.0,5-9,1,2,sv,sv,sv,sv,1,1,sv,sv,sv,sv
Tenuta Di Palagio,Chianti When We Dance,2.5,5-9,4,13,sv,sv,sv,2,sv,3,sv,sv,sv,sv
Trequanda,Chianti Baconcoli,2.0,5-9,1,3,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Trequanda,Chianti Riserva Alticato,3.0,5-9,3,9,sv,sv,sv,sv,sv,sv,sv,3,sv,sv
Cecchi,Chianti Castello Montauto,2.0,10-14,2,4,sv,sv,sv,sv,sv,2,2,sv,sv,sv
Badia a Coltibuono,Chianti Cetamura,1.0,5-9,1,2,sv,sv,sv,sv,1,sv,sv,sv,sv,sv
San Giorgio a Lapi,Chianti Colli Senesi,2.0,5-9,2,6,sv,sv,sv,sv,2,sv,2,sv,sv,sv
San Giorgio a Lapi,Chianti Riserva Ermete,3.0,15-19,6,8,sv,sv,sv,sv,sv,sv,sv,3,3,sv
Fattoria Di Pancole,Chianti Colli Senesi,2.0,10-14,1,2,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Fattoria Pogni,Chianti Riserva Poggio Ai Falchi,2.0,5-9,1,3,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Fattoria Fibbiano,Chianti Superiore Casalini,2.0,15-19,2,3,sv,sv,sv,sv,sv,2,2,sv,sv,sv
Villa A Sesta,Chianti Superiore Ripaltella,2.0,5-9,2,6,sv,sv,sv,sv,sv,sv,2,2,sv,sv
Cantine Bellini,Chianti Rufina Riserva ,3.0,10-14,3,5,sv,sv,sv,sv,sv,sv,sv,3,sv,sv
