Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Edoardo Sobrino,Barolo Monvigliero,4.0,60-64,19,11,5,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Edoardo Sobrino,Barolo Pisapola,4.0,55-54,11,8,4,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Elio Grasso,Barolo Ginestra Casa Matè,4.4,85-89,57,25,5,3,4,sv,5,5,sv,sv,sv,sv,sv,sv
Elio Grasso,Barolo Gavarini Chiniera,4.2,85-89,46,20,4,5,5,sv,4,3,sv,sv,sv,sv,sv,sv
Elio Grasso,Barolo Riserva Runcot,5.0,200-249,33,6,sv,sv,sv,sv,5,sv,sv,5,sv,sv,sv,sv
Elio Grasso,Barolo,4.0,55-59,6,4,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Enrico Serafino,Barolo Briccolina,4.0,125-149,6,2,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Enrico Serafino,Barolo Meriame,3.0,95-99,2,1,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Enrico Serafino,Barolo Monclivio,3.0,35-39,6,6,sv,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Enrico Serafino,Barolo Del Comune Di Serralunga,3.5,40-44,7,7,sv,3,4,sv,sv,sv,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Arione,4.7,85-89,78,34,5,5,4,5,5,4,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Fossati,3.7,65-69,33,19,5,3,3,4,4,3,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Brunate,4.3,85-89,56,24,4,4,5,4,4,5,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Boiolo,3.0,50-54,11,8,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Case Nere,3.3,85-89,19,8,3,4,3,3,3,4,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Del Comune Di La Morra,3.0,45-49,2,2,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Riserva ,4.0,100-124,6,2,sv,sv,sv,sv,sv,sv,sv,sv,sv,4,sv,sv
Eraldo Viberti,Barolo Rocchettevino,3.0,30-34,8,9,3,sv,3,3,3,sv,sv,sv,sv,sv,sv,sv
Eraldo Viberti,Barolo Roncaglie,3.3,40-44,19,17,4,3,4,3,3,3,sv,sv,sv,sv,sv,sv
Eraldo Viberti,Barolo,3.0,25-29,8,11,3,3,3,sv,sv,3,sv,sv,sv,sv,sv,sv
Ettore Germano,Barolo Vignarionda,5.0,100-124,33,11,sv,5,5,sv,sv,sv,sv,sv,sv,sv,sv,sv
Ettore Germano,Barolo Cerretta,4.2,45-49,52,42,5,3,5,4,4,4,sv,sv,sv,sv,sv,sv
Ettore Germano,Barolo Lazzarito Riserva,4.5,65-69,67,37,sv,sv,4,4,4,5,5,5,sv,sv,sv,sv
Ettore Germano,Barolo Prapò,3.3,45-49,26,21,3,5,3,3,3,3,sv,sv,sv,sv,sv,sv
Ettore Germano,Barolo Del Comune Di Serralunga,3.0,35-39,9,10,sv,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Ferdinando Principiano,Barolo Boscareto,3.3,80-84,19,9,4,4,3,3,3,3,sv,sv,sv,sv,sv,sv
Ferdinando Principiano,Barolo Ravera Di Monforte,5.0,55-59,83,55,sv,5,sv,sv,5,5,5,5,sv,sv,sv,sv
Ferdinando Principiano,Barolo Del Comune Di Serralunga,3.5,30-34,22,26,3,3,4,3,4,4,sv,sv,sv,sv,sv,sv
Figli Di Luigi Oddero,Barolo Rocche Rivera,3.8,95-99,32,12,5,4,4,3,3,sv,sv,sv,sv,sv,sv,sv
Figli Di Luigi Oddero,Barolo Vignarionda,4.8,125-149,72,20,sv,sv,5,5,5,5,sv,4,sv,sv,sv,sv
Figli Di Luigi Oddero,Barolo,4.0,65-69,28,16,4,4,4,4,4,sv,sv,sv,sv,sv,sv,sv
Figli Di Luigi Oddero,Barolo Specola,3.0,75-79,4,2,3,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Fontanafredda,Barolo Vigna La Rosa,3.3,55-59,19,12,4,3,3,3,4,3,sv,sv,sv,sv,sv,sv
Fontanafredda,Barolo Proprietà In Fontanafredda,3.0,45-49,9,8,3,3,3,3,3,sv,sv,sv,sv,sv,sv,sv
Fontanafredda,Barolo Del Comune Di Serralunga,2.8,35-39,10,10,2,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Fontanafredda,Barolo,2.8,25-29,8,11,sv,3,3,3,2,3,sv,sv,sv,sv,sv,sv
Fontanafredda,Barolo Riserva,4.0,65-69,6,3,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv
Fracassi Ratti Mentone,Barolo Mantoetto,4.0,30-34,48,57,5,4,5,3,3,4,sv,sv,sv,sv,sv,sv
Francesco Rinaldi E Figli,Barolo Cannubi Riserva,5.0,85-89,33,14,sv,sv,5,sv,5,sv,sv,sv,sv,sv,sv,sv
Francesco Rinaldi E Figli,Barolo Cannubi,4.2,45-49,59,47,5,5,5,4,3,3,sv,sv,sv,sv,sv,sv
Francesco Rinaldi E Figli,Barolo Brunate,3.8,45-49,24,19,sv,3,4,4,4,4,sv,sv,sv,sv,sv,sv
Francesco Rinaldi E Figli,Barolo Brunate,3.0,30-34,2,2,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Franco Maria Martinetti,Barolo Marasco,3.8,50-54,37,27,4,3,3,5,4,4,sv,sv,sv,sv,sv,sv
Franco Maria Martinetti,Barolo Riserva Marasco,3.5,75-79,7,4,sv,sv,sv,sv,3,4,sv,sv,sv,sv,sv,sv
Fratelli Alessandria,Barolo Monvigliero,4.8,60-64,89,54,5,4,5,5,5,5,sv,sv,sv,sv,sv,sv
Fratelli Alessandria,Barolo Gramolere,3.3,50-54,19,14,4,3,3,3,4,3,sv,sv,sv,sv,sv,sv
Fratelli Alessandria,Barolo San Lorenzo Di Verduno,3.6,45-49,28,22,3,5,4,sv,3,3,sv,sv,sv,sv,sv,sv
Fratelli Alessandria,Barolo Del Comune Di Verduno,3.0,35-39,11,12,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Fratelli Borgogno,Barolo Cannubi Riserva,3.7,60-64,13,8,sv,sv,4,sv,4,3,sv,sv,sv,sv,sv,sv
Fratelli Borgogno,Barolo Cannubi,3.0,60-64,8,5,3,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Fratelli Borgogno,Barolo,3.0,40-44,4,3,3,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Fratelli Giacosa,Barolo Bussia,3.3,45-49,29,23,4,3,2,3,5,3,sv,sv,sv,sv,sv,sv
Fratelli Giacosa,Barolo Scarrone Riserva Canavere Vigna Mandorlo,3.5,60-64,7,5,sv,sv,sv,sv,4,3,sv,sv,sv,sv,sv,sv
Fratelli Giacosa,Barolo Canavere Scarrone Vigna Mandorlo,3.5,40-44,15,13,sv,sv,sv,3,4,3,4,sv,sv,sv,sv,sv
Fratelli Revello,Barolo Conca,3.4,45-49,17,13,4,3,4,3,3,sv,sv,sv,sv,sv,sv,sv
